2015-09-14 13:16:18,854, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.05000000000001jump up value: 23.05000000000001temp limit value: 0.0
2015-09-14 13:16:18,854, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.05000000000001jump up value: 30.05000000000001temp limit value: 0.3005000000000001
2015-09-14 13:17:27,969, INFO, *******INFO NEW TEST**************
2015-09-14 13:17:27,989, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:17:27,989, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:17:27,989, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:17:27,989, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:17:28,188, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.630000000000052jump up value: 23.630000000000052temp limit value: 0.0
2015-09-14 13:17:28,188, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.310000000000002jump up value: 31.310000000000002temp limit value: 0.31310000000000004
2015-09-14 13:18:31,851, INFO, *******INFO NEW TEST**************
2015-09-14 13:18:31,871, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:18:31,871, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:18:31,871, DEBUG, DOWN VALUE-TambAmbient temperature value: -273.15jump up value: -273.15temp limit value: 0.0
2015-09-14 13:18:31,871, DEBUG, DOWN VALUE-Tobj:--> object temperature value: -273.15jump up value: -273.15temp limit value: -2.7315
2015-09-14 13:18:32,082, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.090000000000032jump up value: 23.090000000000032temp limit value: 0.0
