Time,Cycle, address, Tobject, Tambient, jumpvalue
02:49:03,349,90,35.29,31.97,-0.24
02:49:03,350,90,36.01,31.95,-0.72
02:49:04,351,90,36.05,31.95,-0.04
02:49:04,352,90,36.81,31.97,-0.76
02:49:05,353,90,37.27,31.95,-0.46
02:49:05,354,90,36.23,31.93,1.04
02:49:05,355,90,36.29,31.95,-0.06
02:49:06,356,90,36.39,31.95,-0.1
02:49:06,357,90,36.71,31.95,-0.32
02:49:07,358,90,36.29,31.97,0.42
02:49:07,359,90,36.13,31.95,0.16
02:49:08,360,90,36.53,31.93,-0.4
02:49:08,361,90,37.77,31.95,-1.24
02:49:08,362,90,35.85,31.95,1.92
02:49:09,363,90,35.81,31.99,0.04
02:49:09,364,90,35.81,31.95,0.0
02:49:10,365,90,35.77,31.97,0.04
02:49:10,366,90,36.39,31.95,-0.62
02:49:10,367,90,36.23,31.97,0.16
02:49:11,368,90,36.17,31.97,0.06
02:49:11,369,90,36.23,31.97,-0.06
02:49:12,370,90,35.89,31.97,0.34
02:49:12,371,90,36.37,31.97,-0.48
02:49:12,372,90,35.77,31.97,0.6
02:49:13,373,90,35.97,31.95,-0.2
02:49:13,374,90,36.07,31.95,-0.1
02:49:14,375,90,36.29,31.95,-0.22
02:49:14,376,90,36.29,31.95,0.0
02:49:14,377,90,36.07,31.95,0.22
02:49:15,378,90,36.33,31.97,-0.26
02:49:15,379,90,36.15,31.97,0.18
02:49:16,380,90,36.37,31.97,-0.22
02:49:16,381,90,36.63,31.97,-0.26
02:49:16,382,90,36.23,31.95,0.4
02:49:17,383,90,36.07,31.97,0.16
02:49:17,384,90,36.23,31.95,-0.16
02:49:18,385,90,36.39,31.99,-0.16
02:49:18,386,90,36.33,31.97,0.06
02:49:18,387,90,36.49,31.97,-0.16
02:49:19,388,90,36.77,31.97,-0.28
02:49:19,389,90,38.25,31.95,-1.48
02:49:20,390,90,37.69,31.99,0.56
02:49:20,391,90,38.11,31.97,-0.42
02:49:21,392,90,38.05,31.99,0.06
02:49:21,393,90,36.89,31.97,1.16
02:49:21,394,90,37.55,31.97,-0.66
02:49:22,395,90,36.33,31.99,1.22
02:49:22,396,90,36.33,31.97,0.0
02:49:23,397,90,36.15,31.99,0.18
02:49:23,398,90,36.29,31.97,-0.14
02:49:23,399,90,36.25,31.99,0.04
02:49:24,400,90,36.45,31.99,-0.2
02:49:24,401,90,36.31,32.01,0.14
02:49:25,402,90,36.37,31.99,-0.06
02:49:25,403,90,36.31,31.97,0.06
02:49:25,404,90,36.31,31.97,0.0
02:49:26,405,90,36.15,31.99,0.16
02:49:26,406,90,36.65,31.99,-0.5
02:49:27,407,90,36.25,31.99,0.4
02:49:27,408,90,36.29,31.97,-0.04
02:49:27,409,90,35.83,31.97,0.46
02:49:28,410,90,35.47,32.01,0.36
02:49:28,411,90,35.09,32.01,0.38
02:49:29,412,90,34.85,31.97,0.24
02:49:29,413,90,34.83,31.97,0.02
02:49:29,414,90,34.77,31.99,0.06
02:49:30,415,90,34.97,31.97,-0.2
02:49:30,416,90,34.75,31.95,0.22
02:49:31,417,90,34.83,31.97,-0.08
02:49:31,418,90,33.79,31.97,1.04
02:49:32,419,90,33.77,31.97,0.02
02:49:32,420,90,33.57,31.97,0.2
02:49:32,421,90,33.55,31.99,0.02
02:49:33,422,90,33.65,31.97,-0.1
02:49:33,423,90,33.77,31.99,-0.12
02:49:34,424,90,33.65,31.97,0.12
02:49:34,425,90,33.69,32.01,-0.04
02:49:34,426,90,33.63,31.99,0.06
02:49:35,427,90,33.49,32.01,0.14
02:49:35,428,90,33.43,31.99,0.06
02:49:36,429,90,33.57,31.97,-0.14
02:49:36,430,90,34.13,31.99,-0.56
02:49:36,431,90,34.23,31.99,-0.1
02:49:37,432,90,33.65,31.95,0.58
02:49:37,433,90,33.61,32.01,0.04
02:49:38,434,90,33.77,32.01,-0.16
